BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
Cervantes y Cordoba,14,5,Domingos,05:51:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,06:20:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,07:02:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,07:37:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,08:11:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,08:47:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,09:12:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,09:36:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,10:00:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,10:24:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,10:48:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,11:12:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,11:36:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,12:00:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,12:24:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,12:48:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,13:12:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,13:42:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,14:12:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,14:42:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,15:12:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,15:42:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,16:12:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,16:42:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,17:12:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,17:42:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,18:06:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,18:30:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,18:54:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,19:18:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,19:42:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,20:06:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,20:30:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,20:54:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,21:18:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,21:42:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,22:12:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,22:42:00,Por Av. Estrada,Vuelta
Cervantes y Cordoba,14,5,Domingos,23:12:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,23:31:00,,Vuelta
Cervantes y Cordoba,14,5,Domingos,23:51:00,Entra a Bº Mosconi,Vuelta
Cervantes y Cordoba,14,5,Domingos,00:16:00,,Vuelta
WalMart,15,5,Domingos,05:45:00,,Vuelta
WalMart,15,5,Domingos,06:14:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,06:55:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,07:30:00,,Vuelta
WalMart,15,5,Domingos,08:04:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,08:40:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,09:05:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,09:29:00,,Vuelta
WalMart,15,5,Domingos,09:53:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,10:17:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,10:41:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,11:05:00,,Vuelta
WalMart,15,5,Domingos,11:29:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,11:53:00,,Vuelta
WalMart,15,5,Domingos,12:17:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,12:41:00,,Vuelta
WalMart,15,5,Domingos,13:05:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,13:35:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,14:05:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,14:35:00,,Vuelta
WalMart,15,5,Domingos,15:05:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,15:35:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,16:05:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,16:35:00,,Vuelta
WalMart,15,5,Domingos,17:05:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,17:35:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,17:59:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,18:23:00,,Vuelta
WalMart,15,5,Domingos,18:47:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,19:11:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,19:35:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,19:59:00,,Vuelta
WalMart,15,5,Domingos,20:23:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,20:47:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,21:11:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,21:35:00,,Vuelta
WalMart,15,5,Domingos,22:05:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,22:35:00,Por Av. Estrada,Vuelta
WalMart,15,5,Domingos,23:05:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,23:24:00,,Vuelta
WalMart,15,5,Domingos,23:45:00,Entra a Bº Mosconi,Vuelta
WalMart,15,5,Domingos,00:10:00,,Vuelta
Bajada Grande,16,5,Domingos,05:35:00,,Vuelta
Bajada Grande,16,5,Domingos,06:04:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,06:45:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,07:18:00,,Vuelta
Bajada Grande,16,5,Domingos,07:50:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,08:26:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,08:51:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,09:15:00,,Vuelta
Bajada Grande,16,5,Domingos,09:39:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,10:03:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,10:27:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,10:51:00,,Vuelta
Bajada Grande,16,5,Domingos,11:15:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,11:39:00,,Vuelta
Bajada Grande,16,5,Domingos,12:03:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,12:27:00,,Vuelta
Bajada Grande,16,5,Domingos,12:51:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,13:21:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,13:51:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,14:21:00,,Vuelta
Bajada Grande,16,5,Domingos,14:51:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,15:21:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,15:51:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,16:21:00,,Vuelta
Bajada Grande,16,5,Domingos,16:51:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,17:21:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,17:45:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,18:09:00,,Vuelta
Bajada Grande,16,5,Domingos,18:33:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,18:57:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,19:21:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,19:45:00,,Vuelta
Bajada Grande,16,5,Domingos,20:09:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,20:33:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,20:57:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,21:21:00,,Vuelta
Bajada Grande,16,5,Domingos,21:51:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,22:21:00,Por Av. Estrada,Vuelta
Bajada Grande,16,5,Domingos,22:51:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,23:10:00,,Vuelta
Bajada Grande,16,5,Domingos,23:35:00,Entra a Bº Mosconi,Vuelta
Bajada Grande,16,5,Domingos,00:00:00,,Vuelta
Bajada Grande,16,5,Domingos,00:38:00,,Vuelta
Barrio AATRA,9,5,Domingos,6:19:00,,Vuelta
Barrio AATRA,9,5,Domingos,06:48:00,Por Av. Estrada,Vuelta
Barrio AATRA,9,5,Domingos,07:30:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,08:06:00,,Vuelta
Barrio AATRA,9,5,Domingos,8:41:00,"Entra a Bº Mosconi,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,09:19:00,Por Av. Estrada,Vuelta
Barrio AATRA,9,5,Domingos,09:45:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,10:09:00,,Vuelta
Barrio AATRA,9,5,Domingos,10:33:00,"Entra a Bº Mosconi,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,10:57:00,Por Av. Estrada,Vuelta
Barrio AATRA,9,5,Domingos,11:21:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,11:45:00,,Vuelta
Barrio AATRA,9,5,Domingos,12:09:00,Por Av. Estrada,Vuelta
Barrio AATRA,9,5,Domingos,12:33:00,,Vuelta
Barrio AATRA,9,5,Domingos,12:57:00,"Entra a Bº Mosconi,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,13:21:00,,Vuelta
Barrio AATRA,9,5,Domingos,13:45:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,14:15:00,"Por Av. Estrada,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,14:45:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,15:15:00,,Vuelta
Barrio AATRA,9,5,Domingos,15:45:00,"Entra a Bº Mosconi,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,16:15:00,Por Av. Estrada,Vuelta
Barrio AATRA,9,5,Domingos,16:45:00,"Entra a Bº Mosconi,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,17:15:00,,Vuelta
Barrio AATRA,9,5,Domingos,17:45:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,18:15:00,"Por Av. Estrada,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,18:39:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,19:03:00,,Vuelta
Barrio AATRA,9,5,Domingos,19:27:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,19:51:00,"Por Av. Estrada,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,20:15:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,20:39:00,,Vuelta
Barrio AATRA,9,5,Domingos,21:03:00,"Entra a Bº Mosconi,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,21:27:00,Por Av. Estrada,Vuelta
Barrio AATRA,9,5,Domingos,21:51:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,22:15:00,,Vuelta
Barrio AATRA,9,5,Domingos,22:45:00,"Entra a Bº Mosconi,Llega hasta Barrio 41 Viviendas",Vuelta
Barrio AATRA,9,5,Domingos,23:15:00,Por Av. Estrada,Vuelta
Barrio AATRA,9,5,Domingos,23:45:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,00:04:00,,Vuelta
Barrio AATRA,9,5,Domingos,00:16:00,Entra a Bº Mosconi,Vuelta
Barrio AATRA,9,5,Domingos,00:41:00,,Vuelta
