"BusStopKeyName","Line","Days","Time","Comment","Direction"
"Balneario Thompson",6,"Habiles","05:10:00",,"Ida"
"Balneario Thompson",6,"Habiles","05:31:00",,"Ida"
"Balneario Thompson",6,"Habiles","05:51:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","06:10:00",,"Ida"
"Balneario Thompson",6,"Habiles","06:24:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","06:32:00",,"Ida"
"Balneario Thompson",6,"Habiles","06:44:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","06:57:00",,"Ida"
"Balneario Thompson",6,"Habiles","07:08:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","07:23:00",,"Ida"
"Balneario Thompson",6,"Habiles","07:36:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","07:48:00",,"Ida"
"Balneario Thompson",6,"Habiles","08:00:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","08:12:00",,"Ida"
"Balneario Thompson",6,"Habiles","08:23:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","08:35:00",,"Ida"
"Balneario Thompson",6,"Habiles","08:47:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","08:59:00",,"Ida"
"Balneario Thompson",6,"Habiles","09:11:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","09:23:00",,"Ida"
"Balneario Thompson",6,"Habiles","09:34:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","09:46:00",,"Ida"
"Balneario Thompson",6,"Habiles","09:58:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","10:10:00",,"Ida"
"Balneario Thompson",6,"Habiles","10:22:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","10:33:00",,"Ida"
"Balneario Thompson",6,"Habiles","10:45:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","10:57:00",,"Ida"
"Balneario Thompson",6,"Habiles","11:09:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","11:21:00",,"Ida"
"Balneario Thompson",6,"Habiles","11:32:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","11:44:00",,"Ida"
"Balneario Thompson",6,"Habiles","11:56:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","12:08:00",,"Ida"
"Balneario Thompson",6,"Habiles","12:20:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","12:31:00",,"Ida"
"Balneario Thompson",6,"Habiles","12:43:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","12:55:00",,"Ida"
"Balneario Thompson",6,"Habiles","13:07:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","13:19:00",,"Ida"
"Balneario Thompson",6,"Habiles","13:27:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","13:39:00",,"Ida"
"Balneario Thompson",6,"Habiles","13:55:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","14:11:00",,"Ida"
"Balneario Thompson",6,"Habiles","14:27:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","14:43:00",,"Ida"
"Balneario Thompson",6,"Habiles","14:59:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","15:15:00",,"Ida"
"Balneario Thompson",6,"Habiles","15:31:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","15:50:00",,"Ida"
"Balneario Thompson",6,"Habiles","16:06:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","16:22:00",,"Ida"
"Balneario Thompson",6,"Habiles","16:37:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","16:52:00",,"Ida"
"Balneario Thompson",6,"Habiles","17:04:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","17:16:00",,"Ida"
"Balneario Thompson",6,"Habiles","17:28:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","17:39:00",,"Ida"
"Balneario Thompson",6,"Habiles","17:51:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","18:03:00",,"Ida"
"Balneario Thompson",6,"Habiles","18:15:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","18:27:00",,"Ida"
"Balneario Thompson",6,"Habiles","18:38:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","18:50:00",,"Ida"
"Balneario Thompson",6,"Habiles","19:02:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","19:14:00",,"Ida"
"Balneario Thompson",6,"Habiles","19:26:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","19:37:00",,"Ida"
"Balneario Thompson",6,"Habiles","19:49:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","20:01:00",,"Ida"
"Balneario Thompson",6,"Habiles","20:12:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","20:24:00",,"Ida"
"Balneario Thompson",6,"Habiles","20:35:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","20:47:00",,"Ida"
"Balneario Thompson",6,"Habiles","21:07:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","21:26:00",,"Ida"
"Balneario Thompson",6,"Habiles","21:50:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","22:16:00",,"Ida"
"Balneario Thompson",6,"Habiles","22:41:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","23:13:00",,"Ida"
"Balneario Thompson",6,"Habiles","23:45:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","00:14:00",,"Ida"
"Balneario Thompson",6,"Habiles","00:39:00","por Paracao","Ida"
"Balneario Thompson",6,"Habiles","05:10:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","05:31:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","05:51:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","06:10:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","06:24:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","06:32:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","06:44:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","06:57:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","07:08:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","07:23:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","07:36:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","07:48:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","08:00:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","08:12:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","08:23:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","08:35:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","08:47:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","08:59:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","09:11:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","09:23:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","09:34:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","09:46:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","09:58:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","10:10:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","10:22:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","10:33:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","10:45:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","10:57:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","11:09:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","11:21:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","11:32:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","11:44:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","11:56:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","12:08:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","12:20:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","12:31:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","12:43:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","12:55:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","13:07:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","13:19:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","13:27:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","13:39:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","13:55:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","14:11:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","14:27:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","14:43:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","14:59:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","15:15:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","15:31:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","15:50:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","16:06:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","16:22:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","16:37:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","16:52:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","17:04:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","17:16:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","17:28:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","17:39:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","17:51:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","18:03:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","18:15:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","18:27:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","18:38:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","18:50:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","19:02:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","19:14:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","19:26:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","19:37:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","19:49:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","20:01:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","20:12:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","20:24:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","20:35:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","20:47:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","21:07:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","21:26:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","21:50:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","22:16:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","22:41:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","23:13:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","23:45:00","por Paracao","Vuelta"
"Balneario Thompson",6,"Habiles","00:14:00",,"Vuelta"
"Balneario Thompson",6,"Habiles","00:39:00","por Paracao","Vuelta"
"Oro Verde",6,"Habiles","04:52:00",,"Ida"
"Oro Verde",6,"Habiles","05:12:00","por Paracao","Ida"
"Oro Verde",6,"Habiles","05:30:00",,"Ida"
"Oro Verde",6,"Habiles","05:43:00","por Paracao","Ida"
"Oro Verde",6,"Habiles","05:48:00",,"Ida"
"Oro Verde",6,"Habiles","06:00:00","por Paracao","Ida"
