"Name","GeoPoint","Address","BusLine"
"Oro Verde","-31.81836838695893,-60.515151988916045","Oro Verde",6
"Km. 5 1/2","-31.778100944223176,-60.519915592126495","Km. 5 1/2",6
"Plaza 1ro de Mayo","-31.733454353238766,-60.53025819008792","San Martin y 25 de Mayo",6
"Balneario Thompson","-31.71859779332668,-60.51060296242679","Du Gratty y Soler",6
"Av. Americas y M. Lebhenson","-31.76331338111386,-60.528398422241196","Av. Americas y M. Lebhenson",6
"Av. Americas y Bv. Racedo","-31.747147825366497,-60.524900821685776","Av. Americas y Bv. Racedo",6
"Plaza Alvear","-31.72754, -60.53008","Buenos Aires y Laprida",6
"Plaza Alverdi","-31.73401, -60.52535","Gral. Urquiza y Arturo Illia",6
