"BusStopKeyName","Days","Time"
"ORO VERDE","Habiles","18:22:00"
"ORO VERDE","Habiles","18:34:00"
"ORO VERDE","Habiles","18:45:00"
"ORO VERDE","Habiles","18:57:00"
"ORO VERDE","Habiles","19:09:00"
"ORO VERDE","Habiles","19:21:00"
"ORO VERDE","Habiles","19:33:00"
"ORO VERDE","Habiles","19:46:00"
"ORO VERDE","Habiles","20:00:00"
"ORO VERDE","Habiles","20:20:00"
"ORO VERDE","Habiles","20:39:00"
"ORO VERDE","Habiles","21:03:00"
"ORO VERDE","Habiles","21:28:00"
"ORO VERDE","Habiles","21:57:00"
"ORO VERDE","Habiles","22:33:00"
"ORO VERDE","Habiles","23:05:00"
"ORO VERDE","Habiles","23:35:00"
"ORO VERDE","Habiles","00:00:00"
"Km. 5 1/2","Habiles","05:00:00"
"Km. 5 1/2","Habiles","05:20:00"
"Km. 5 1/2","Habiles","05:38:00"
"Km. 5 1/2","Habiles","05:52:00"
"Km. 5 1/2","Habiles","05:57:00"
"Km. 5 1/2","Habiles","06:09:00"
"Km. 5 1/2","Habiles","06:21:00"
"Km. 5 1/2","Habiles","06:32:00"
"Km. 5 1/2","Habiles","06:44:00"
"Km. 5 1/2","Habiles","06:56:00"
"Km. 5 1/2","Habiles","07:07:00"
"Km. 5 1/2","Habiles","07:19:00"
"Km. 5 1/2","Habiles","07:31:00"
"Km. 5 1/2","Habiles","07:42:00"
"Km. 5 1/2","Habiles","07:54:00"
"Km. 5 1/2","Habiles","08:06:00"
"Km. 5 1/2","Habiles","08:18:00"
"Km. 5 1/2","Habiles","08:30:00"
"Km. 5 1/2","Habiles","08:42:00"
"Km. 5 1/2","Habiles","08:53:00"
"Km. 5 1/2","Habiles","09:05:00"
"Km. 5 1/2","Habiles","09:17:00"
"Km. 5 1/2","Habiles","09:29:00"
"Km. 5 1/2","Habiles","09:41:00"
"Km. 5 1/2","Habiles","09:52:00"
"Km. 5 1/2","Habiles","10:04:00"
"Km. 5 1/2","Habiles","10:16:00"
"Km. 5 1/2","Habiles","10:28:00"
"Km. 5 1/2","Habiles","10:40:00"
"Km. 5 1/2","Habiles","10:51:00"
"Km. 5 1/2","Habiles","11:03:00"
"Km. 5 1/2","Habiles","11:15:00"
"Km. 5 1/2","Habiles","11:27:00"
"Km. 5 1/2","Habiles","11:39:00"
"Km. 5 1/2","Habiles","11:50:00"
"Km. 5 1/2","Habiles","12:02:00"
"Km. 5 1/2","Habiles","12:14:00"
"Km. 5 1/2","Habiles","12:26:00"
"Km. 5 1/2","Habiles","12:38:00"
"Km. 5 1/2","Habiles","12:48:00"
"Km. 5 1/2","Habiles","13:00:00"
"Km. 5 1/2","Habiles","13:16:00"
"Km. 5 1/2","Habiles","13:32:00"
"Km. 5 1/2","Habiles","13:48:00"
"Km. 5 1/2","Habiles","14:04:00"
"Km. 5 1/2","Habiles","14:20:00"
"Km. 5 1/2","Habiles","14:36:00"
"Km. 5 1/2","Habiles","14:52:00"
"Km. 5 1/2","Habiles","15:09:00"
"Km. 5 1/2","Habiles","15:25:00"
"Km. 5 1/2","Habiles","15:41:00"
"Km. 5 1/2","Habiles","15:56:00"
"Km. 5 1/2","Habiles","16:11:00"
"Km. 5 1/2","Habiles","16:23:00"
"Km. 5 1/2","Habiles","16:35:00"
"Km. 5 1/2","Habiles","16:47:00"
"Km. 5 1/2","Habiles","16:58:00"
"Km. 5 1/2","Habiles","17:10:00"
"Km. 5 1/2","Habiles","17:22:00"
"Km. 5 1/2","Habiles","17:34:00"
"Km. 5 1/2","Habiles","17:46:00"
"Km. 5 1/2","Habiles","17:57:00"
"Km. 5 1/2","Habiles","18:09:00"
"Km. 5 1/2","Habiles","18:21:00"
"Km. 5 1/2","Habiles","18:33:00"
"Km. 5 1/2","Habiles","18:45:00"
"Km. 5 1/2","Habiles","18:56:00"
"Km. 5 1/2","Habiles","19:08:00"
"Km. 5 1/2","Habiles","19:20:00"
"Km. 5 1/2","Habiles","19:32:00"
"Km. 5 1/2","Habiles","19:44:00"
"Km. 5 1/2","Habiles","19:56:00"
"Km. 5 1/2","Habiles","20:10:00"
"Km. 5 1/2","Habiles","20:30:00"
"Km. 5 1/2","Habiles","20:49:00"
"Km. 5 1/2","Habiles","21:13:00"
"Km. 5 1/2","Habiles","21:39:00"
"Km. 5 1/2","Habiles","22:06:00"
"Km. 5 1/2","Habiles","22:41:00"
"Km. 5 1/2","Habiles","23:13:00"
