SALIDA,PASA por,PASA por,PASA por,LLEGADA a,SALIDA,PASA por,PASA por,PASA por,LLEGADA,,,,,,,,,,,,,,,
desde,Churruarín,,Plaza,Hosp. Roballos,Hosp. Roballos,Plaza,,Churruarín,a
"Bº
  Policial",y Rondeau,5 Esquinas,1º de Mayo,Toma Nueva,Toma Nueva,Alvear,5 Esquinas,y Rondeau,Bº Policial
12:27,12:41,12:48,12:54,13:20,,13:14,13:26,13:32,13:42,
12:35,12:47,12:54,13:00,,,13:20,13:32,13:38,13:48
12:41,12:53,13:00,13:06,,13:02,13:30,13:42,13:48,14:00
12:47,12:59,13:06,13:12,,,13:40,13:52,13:58,14:08
12:56,13:10,13:17,13:23,13:49,,13:50,14:02,14:07,14:17
13:08,13:20,13:26,13:32,,13:32,14:00,14:12,14:17,14:29
13:19,13:31,13:37,13:43,,,14:11,14:23,14:28,14:38
13:28,13:42,13:48,13:54,14:20,,14:22,14:34,14:39,14:49
13:40,13:52,13:58,14:04,,14:03,14:31,14:43,14:48,15:00
13:51,14:03,14:09,14:15,,,14:43,14:55,15:00,15:10,
14:00,14:14,14:20,14:26,14:52,,14:54,15:06,15:11,15:21,
14:12,14:24,14:30,14:36,,14:36,15:04,15:16,15:21,15:33
14:23,14:35,14:41,14:47,,,15:15,15:27,15:32,15:42
14:32,14:46,14:52,14:58,15:24,,15:26,15:38,15:43,15:53
14:44,14:56,15:02,15:08,,15:06,15:34,15:46,15:51,16:03
14:55,15:07,15:13,15:19,,,15:47,15:59,16:04,16:14,
15:04,15:18,15:24,15:30,15:56,,15:58,16:09,16:14,16:24
15:16,15:28,15:34,15:40,,15:40,16:08,16:20,16:25,16:36
15:27,15:39,15:45,15:51,,,16:19,16:31,16:36,16:46
15:36,15:50,15:56,16:02,16:28,,16:30,16:42,16:47,16:57
15:48,16:00,16:06,16:12,,16:11,16:39,16:51,16:57,17:09
15:59,16:11,16:17,16:23,,,16:48,17:00,17:06,17:16
16:08,16:22,16:29,16:35,17:01,,16:54,17:06,17:12,17:22
16:15,16:27,16:34,16:40,,,17:00,17:12,17:18,17:28,
16:21,16:33,16:40,16:46,,16:38,17:06,17:18,17:24,17:36,
16:27,16:39,16:46,16:52,,,17:12,17:24,17:30,17:40,
16:31,16:45,16:52,16:58,17:24,,17:18,17:30,17:36,17:46,
16:39,16:51,16:58,17:04,,,17:24,17:36,17:42,17:52,
16:45,16:57,17:04,17:10,,17:02,17:30,17:42,17:48,18:00,
16:51,17:03,17:10,17:16,,,17:36,17:48,17:54,18:04,
16:55,17:09,17:16,17:22,17:48,,17:42,17:54,18:00,18:10,
17:03,17:15,17:22,17:28,,,17:48,18:00,18:06,18:16,
17:09,17:21,17:28,17:34,,17:26,17:54,18:06,18:12,18:24,
17:15,17:27,17:34,17:40,,,18:00,18:12,18:18,18:28,
17:19,17:33,17:40,17:46,18:12,,18:06,18:18,18:24,18:34,
17:27,17:39,17:46,17:52,,,18:12,18:24,18:30,18:40,
17:33,17:45,17:52,17:58,,17:50,18:18,18:30,18:36,18:48,
17:39,17:51,17:58,18:04,,,18:24,18:36,18:42,18:52,
17:43,17:57,18:04,18:10,18:36,,18:30,18:42,18:48,18:58,
17:51,18:03,18:10,18:16,,,18:36,18:48,18:54,19:04,
17:57,18:09,18:16,18:22,,18:14,18:42,18:54,19:00,19:12,
18:03,18:15,18:22,18:28,,,18:48,19:00,19:06,19:16,
18:07,18:21,18:28,18:34,19:00,,18:54,19:06,19:12,19:22,
18:15,18:27,18:34,18:40,,,19:00,19:12,19:18,19:28,
18:21,18:33,18:40,18:46,,18:38,19:06,19:18,19:24,19:36,
18:27,18:39,18:46,18:52,,,19:12,19:24,19:30,19:40,
18:31,18:45,18:52,18:58,19:24,,19:18,19:30,19:36,19:46,
18:39,18:51,18:58,19:04,,,19:24,19:36,19:41,19:50,
18:45,18:57,19:04,19:10,,19:02,19:30,19:42,19:48,20:00,
18:51,19:03,19:10,19:16,,,19:36,19:48,19:54,20:04,
18:55,19:09,19:16,19:22,19:48,,19:42,19:54,20:00,20:10,
19:03,19:15,19:22,19:28,,,19:48,20:00,20:06,20:16,
