SALIDA,PASA por,PASA por,PASA por,LLEGADA a,SALIDA,PASA por,PASA por,PASA por,LLEGADA,,,,,,,,,,,,,,,
desde,Churruarín,,Plaza,Hosp. Roballos,Hosp. Roballos,Plaza,,Churruarín,a
"Bº
  Policial",y Rondeau,5 Esquinas,1º de Mayo,Toma Nueva,Toma Nueva,Alvear,5 Esquinas,y Rondeau,Bº Policial
4:35,4:47,4:52,4:56,5:12,5:15,5:32,5:40,5:45,5:55
-,-,-,-,-,5:40,5:57,6:05,6:10,6:20
5:05,5:17,5:22,5:26,5:50,5:50,6:14,6:24,6:29,6:40
5:30,5:42,5:48,5:52,6:09,6:12,6:30,6:40,6:45,6:56
5:50,6:03,6:09,6:14,6:38,,6:48,6:58,7:03,7:12
6:05,6:18,6:24,6:29,6:54,6:39,7:06,7:16,7:21,7:32
6:18,6:30,6:36,6:41,,,7:17,7:27,7:32,7:42
6:30,6:44,6:50,6:55,7:20,7:03,7:30,7:41,7:46,7:57
6:45,6:57,7:04,7:10,,,7:43,7:53,7:58,8:08
6:55,7:09,7:16,7:22,7:47,7:28,7:56,8:07,8:12,8:24
7:11,7:23,7:30,7:36,,,8:09,8:20,8:26,8:36
7:22,7:36,7:43,7:49,8:14,7:52,8:20,8:32,8:38,8:50
7:37,7:49,7:56,8:02,,,8:35,8:47,8:53,9:03
7:48,8:02,8:09,8:15,8:40,8:18,8:46,8:58,9:04,9:16
8:03,8:15,8:22,8:28,,,9:00,9:12,9:18,9:28
8:14,8:28,8:35,8:41,9:06,8:44,9:12,9:24,9:30,9:42
8:28,8:40,8:47,8:53,,,9:25,9:37,9:43,9:53,
8:39,8:53,9:00,9:06,9:31,9:10,9:38,9:50,9:56,10:08
8:53,9:05,9:12,9:18,,,9:51,10:03,10:09,10:19
9:05,9:19,9:26,9:32,9:57,9:36,10:04,10:16,10:22,10:34
9:19,9:31,9:38,9:44,,,10:17,10:29,10:35,10:45
9:31,9:45,9:52,9:58,10:23,10:02,10:30,10:42,10:48,11:00
9:45,9:57,10:04,10:10,,,10:43,10:55,11:01,11:11
9:57,10:11,10:18,10:24,10:49,10:28,10:56,11:08,11:14,11:26
10:11,10:23,10:30,10:36,,,11:09,11:21,11:27,11:37,
10:23,10:37,10:44,10:50,11:15,10:54,11:22,11:34,11:40,11:52,
10:37,10:49,10:56,11:02,,,11:35,11:47,11:53,12:03,
10:49,11:03,11:10,11:16,11:41,11:20,11:48,12:00,12:06,12:18,
11:03,11:15,11:22,11:28,,,12:01,12:13,12:19,12:29
11:15,11:29,11:36,11:42,12:07,11:46,12:14,12:26,12:32,12:44
11:29,11:41,11:48,11:54,,,12:27,12:39,12:45,12:55
11:41,11:55,12:02,12:08,12:33,12:12,12:40,12:52,12:58,13:10
11:55,12:07,12:14,12:20,,,12:53,13:05,13:11,13:21,
12:07,12:21,12:28,12:34,12:59,12:36,13:04,13:16,13:22,13:34
12:21,12:33,12:40,12:46,,,13:20,13:32,13:38,13:48
12:33,12:47,12:54,13:00,13:25,13:06,13:34,13:46,13:52,14:04
12:49,13:01,13:07,13:13,,,13:50,14:01,14:07,14:17
13:03,13:17,13:23,13:29,13:54,13:36,14:04,14:16,14:22,14:34
13:19,13:31,13:37,13:43,,,14:20,14:31,14:37,14:47
13:33,13:47,13:53,13:59,14:24,14:07,14:35,14:46,14:52,15:04
13:49,14:01,14:07,14:13,,,14:50,15:01,15:07,15:17,
14:03,14:17,14:23,14:29,14:54,14:37,15:05,15:16,15:22,15:34,
14:19,14:31,14:37,14:43,,,15:20,15:31,15:37,15:47,
14:33,14:47,14:53,14:59,15:24,15:07,15:35,15:46,15:52,16:04,
14:49,15:01,15:07,15:13,,,15:50,16:01,16:07,16:17,
15:03,15:17,15:23,15:29,15:54,15:37,16:05,16:16,16:21,16:33,
15:19,15:31,15:37,15:43,,,16:20,16:31,16:37,16:47,
15:33,15:47,15:53,15:59,16:24,16:07,16:35,16:46,16:52,17:04,
15:49,16:01,16:07,16:13,,,16:50,17:01,17:07,17:17,
16:03,16:17,16:23,16:29,16:54,16:37,17:05,17:16,17:21,17:33,
16:19,16:31,16:37,16:43,,,17:20,17:32,17:38,17:48,
16:33,16:47,16:53,16:59,17:24,17:05,17:33,17:45,17:51,18:03,
16:48,17:00,17:07,17:13,,,17:45,17:57,18:03,18:13,
16:59,17:13,17:20,17:26,17:51,17:29,17:57,18:09,18:15,18:27,
17:13,17:25,17:32,17:38,,,18:09,18:21,18:27,18:37,
17:24,17:38,17:45,17:51,18:16,17:53,18:21,18:33,18:39,18:51,
17:37,17:49,17:56,18:02,,,18:32,18:44,18:50,19:00,
17:48,18:02,18:09,18:15,18:40,18:17,18:45,18:57,19:03,19:15,
18:00,18:12,18:19,18:25,,,18:54,19:06,19:12,19:22,
18:10,18:24,18:31,18:37,19:02,18:40,19:06,19:18,19:24,19:36,
18:22,18:34,18:41,18:47,,,19:16,19:28,19:34,19:44,
