,Av. Américas y Lebhenson,Monte Caseros y Alem,5 Esquinas,,,Terminal de Omnibus,Plaza 1º de Mayo,Plaza Alvear
16:28 (SR),16:38,16:50,17:07,17:21 (BH),,17:26 (BH),17:41,17:45,17:53,18:15 (SL)
16:45 (SL),16:53,17:05,17:22,17:36 (LM),,17:41 (LM),17:56,18:00,18:08,18:30 (DP)
17:00 (SL),17:08,17:20,17:37,17:51 (BH),,17:56 (BH),18:11,18:15,18:23,18:45 (SL)
17:13 (SR),17:23,17:35,17:52,18:06 (LM),,18:11 (LM),18:26,18:30,18:38,19:00 (SL)
17:30 (SL),17:38,17:50,18:07,18:21 (BH),,18:26 (BH),18:41,18:45,18:53,19:15 (DP)
17:45 (SL),17:53,18:05,18:22,18:36 (LM),,18:41 (LM),18:56,19:00,19:08,19:30 (SL)
18:00 (DP),18:08,18:20,18:37,18:51 (BH),,18:56 (BH),19:11,19:15,19:23,19:45 (SL)
18:15 (SL),18:23,18:35,18:52,19:06 (LM),,19:11 (LM),19:25,19:29,19:37,19:58 (DP)
18:30 (SL),18:38,18:50,19:07,19:21 (BH),,19:26 (BH),19:40,19:44,19:51,20:11 (SL)
18:45 (DP),18:53,19:05,19:22,19:36 (LM),,19:41 (LM),19:55,19:59,20:06,20:25 (SL)
19:00 (SL),19:08,19:20,19:37,19:51 (BH),,19:55 (BH),20:09,20:13,20:20,20:37 (DP)
19:15 (SL),19:23,19:35,19:52,20:06 (LM),,20:09 (LM),20:23,20:27,20:34,20:53 (SL)
19:30 (DP),19:38,19:50,20:07,20:21 (BH),,20:25 (BH),20:39,20:43,20:50,21:09 (DP)
19:45 (SL),19:53,20:05,20:21,20:35 (LM),,20:46 (LM),21:00,21:04,21:11,21:29 (SL)
20:02 (SL),20:10,20:21,20:37,20:51 (LM),,-,-,-,-,-
20:21 (DP),20:28,20:39,20:55,21:09 (BH),,21:08 (BH),21:22,21:26,21:33,21:50 (DP)
20:40 (SL),20:47,20:58,21:14,21:28 (LM),,21:30 (LM),21:44,21:48,21:55,22:12 (SL)
21:00 (SL),21:07,21:18,21:32,21:46 (BH),,21:50 (BH),22:04,22:08,22:15,22:31 (DP)
21:20 (DP),21:27,21:37,21:51,22:04 (LM),,22:05 (LM),22:19,22:23,22:30,22:47 (SL)
21:40 (SL),21:47,21:57,22:11,22:24 (BH),,-,-,-,-,-
22:05 (DP),22:12,22:22,22:36,22:49 (LM),,-,-,-,-,-
