LA LOMA,SAN BENITO,Pº Industrial,Estación Parera,Bº El Trébol,Av. Almafuerte y Zanni,Plaza de Mayo / Plaza Alberdi,Casa de Gobierno,Av. Almafuerte y Zanni,Pº Industrial,Estación Parera,Bº El Trébol,SAN BENITO,LA LOMA
-,-,-,-,-,-,-,5:08,5:28,5:39,-,-,5:55,-,
4:40,-,-,-,-,5:02,5:14,5:21,5:40,5:51,-,-,-,6:07,
-,5:00,-,-,-,5:22,5:35,5:42,6:02,-,-,-,6:27,-,
5:15,-,-,5:32,-,5:45,5:58,6:05,6:27,-,6:40,-,-,6:57,
-,5:40,-,-,-,6:05,6:18,6:25,6:47,-,-,-,7:12,-,
5:55,-,6:12,-,-,6:25,6:38,6:45,7:07,-,-,-,-,7:32,
-,6:10,-,-,6:28,6:41,6:55,7:03,7:25,7:38,-,-,-,7:56,
6:30,-,-,-,-,6:57,7:11,7:19,7:41,-,-,-,8:07,-,
-,6:40,-,6:58,-,7:12,7:26,7:34,7:56,-,-,-,-,8:22,
6:55,-,7:13,-,-,7:27,7:41,7:49,8:11,-,-,8:24,-,8:42,
7:12,-,-,-,-,7:39,7:53,8:01,8:23,-,-,-,8:49,-,
-,7:23,-,-,-,7:50,8:04,8:12,8:34,-,-,-,-,9:00,
7:30,-,-,-,7:48,8:02,8:16,8:24,8:46,-,8:59,-,-,9:17,
7:46,-,-,-,-,8:13,8:27,8:35,8:57,-,-,-,9:23,-,
-,7:57,-,-,-,8:24,8:38,8:46,9:08,-,-,-,-,9:34,
8:03,-,-,8:21,-,8:35,8:49,8:57,9:19,9:32,-,-,-,9:50,
8:19,-,-,-,-,8:46,9:00,9:08,9:30,-,-,-,9:56,-,
-,8:30,-,-,-,8:57,9:11,9:19,9:41,-,-,-,-,10:07,
8:37,-,8:55,-,-,9:09,9:23,9:31,9:53,-,-,10:06,-,10:24,
8:54,-,-,-,-,9:21,9:35,9:43,10:05,-,-,-,10:31,-,
-,9:06,-,-,-,9:33,9:47,9:55,10:17,-,-,-,-,10:43,
9:13,-,-,-,9:31,9:45,9:59,10:07,10:29,-,10:42,-,-,11:00,
9:30,-,-,-,-,9:57,10:11,10:19,10:41,-,-,-,11:07,-,
-,9:42,-,-,-,10:09,10:23,10:31,10:53,-,-,-,-,11:19,
9:49,-,-,10:07,-,10:21,10:35,10:43,11:05,11:18,-,-,-,11:36,
10:06,-,-,-,-,10:33,10:47,10:55,11:17,-,-,-,11:43,-,
-,10:18,-,-,-,10:45,10:59,11:07,11:29,-,-,-,-,11:55,
10:24,-,10:42,-,-,10:56,11:10,11:18,11:40,-,-,11:53,-,12:11,
10:40,-,-,-,-,11:07,11:21,11:29,11:51,-,-,-,12:17,-,
-,10:52,-,-,-,11:19,11:33,11:41,12:03,-,-,-,-,12:29,
10:59,-,-,-,11:17,11:31,11:45,11:53,12:15,-,12:28,-,-,12:46,
11:16,-,-,-,-,11:43,11:57,12:05,12:27,-,-,-,12:53,-,
-,11:28,-,-,-,11:55,12:09,12:17,12:39,-,-,-,-,13:05,
11:34,-,-,11:52,-,12:06,12:20,12:28,12:50,13:03,-,-,-,13:21,
11:50,-,-,-,-,12:17,12:31,12:39,13:01,-,-,-,13:27,-,
