SALIDA,PASA por,PASA por,PASA por,LLEGADA a,SALIDA,PASA por,PASA por,PASA por,LLEGADA,,,,,,,,,,,,,,,
desde,Churruarín,,Plaza,Hosp. Roballos,Hosp. Roballos,Plaza,,Churruarín,a
"Bº
  Policial",y Rondeau,5 Esquinas,1º de Mayo,Toma Nueva,Toma Nueva,Alvear,5 Esquinas,y Rondeau,Bº Policial
5:25,5:36,5:41,5:45,5:57,6:00,6:10,6:18,6:23,6:32
5:45,5:57,6:02,6:06,6:25,6:25,6:43,6:51,6:56,7:05
6:04,6:16,6:21,6:25,6:44,6:45,7:03,7:11,7:16,7:25
6:22,6:34,6:39,6:43,7:02,7:05,7:23,7:31,7:36,7:45
6:40,6:52,6:57,7:01,7:20,7:24,7:42,7:50,7:55,8:04
6:57,7:09,7:14,7:18,7:37,7:41,7:59,8:07,8:12,8:21
7:13,7:25,7:30,7:34,7:53,7:58,8:16,8:24,8:29,8:38
7:29,7:41,7:46,7:50,8:09,8:14,8:32,8:41,8:46,8:55
7:44,7:56,8:01,8:05,8:24,8:30,8:48,8:58,9:03,9:12
7:58,8:11,8:16,8:20,8:39,8:46,9:04,9:15,9:20,9:29
8:13,8:26,8:31,8:35,8:54,9:01,9:19,9:31,9:36,9:46
8:28,8:41,8:47,8:51,9:10,9:15,9:33,9:45,9:51,10:02
8:41,8:54,9:01,9:07,9:26,9:30,9:48,10:00,10:06,10:18
8:56,9:10,9:17,9:23,9:44,9:46,10:04,10:16,10:22,10:34
9:12,9:26,9:33,9:39,10:00,10:03,10:21,10:33,10:39,10:51
9:28,9:42,9:49,9:55,10:16,10:20,10:38,10:50,10:56,11:08
9:44,9:58,10:05,10:11,10:32,10:36,10:54,11:06,11:12,11:24,
10:00,10:14,10:21,10:27,10:48,10:53,11:11,11:23,11:29,11:41
10:17,10:31,10:38,10:44,11:05,11:09,11:27,11:39,11:45,11:57
10:33,10:47,10:54,11:00,11:21,11:25,11:43,11:55,12:01,12:13
10:49,11:03,11:10,11:16,11:37,11:42,12:00,12:12,12:18,12:30
11:06,11:20,11:27,11:33,11:54,11:59,12:17,12:29,12:35,12:47
11:23,11:37,11:44,11:50,12:11,12:16,12:34,12:46,12:52,13:04
11:39,11:53,12:00,12:06,12:27,12:32,12:50,13:02,13:08,13:20
11:56,12:10,12:17,12:23,12:44,12:48,13:06,13:18,13:24,13:36,
12:12,12:26,12:33,12:39,13:00,13:05,13:23,13:35,13:41,13:53,
12:28,12:42,12:49,12:55,13:16,13:21,13:39,13:50,13:56,14:08,
12:51,13:05,13:12,13:18,13:39,13:44,14:02,14:12,14:18,14:30,
13:14,13:28,13:35,13:41,14:02,14:07,14:25,14:35,14:41,14:53
13:37,13:51,13:58,14:04,14:25,14:30,14:48,14:58,15:04,15:16
14:00,14:14,14:21,14:27,14:48,14:53,15:11,15:21,15:27,15:39
14:23,14:37,14:44,14:50,15:11,15:16,15:34,15:44,15:50,16:02
14:46,15:00,15:07,15:13,15:34,15:39,15:57,16:07,16:13,16:25,
15:09,15:23,15:30,15:36,15:57,16:02,16:20,16:30,16:36,16:48
15:32,15:46,15:53,15:59,16:20,16:25,16:43,16:53,16:59,17:11
15:55,16:09,16:16,16:22,16:43,16:48,17:06,17:16,17:22,17:34
16:10,16:24,16:31,16:37,16:58,17:03,17:21,17:32,17:38,17:50
16:23,16:37,16:44,16:50,17:11,17:16,17:34,17:46,17:52,18:04
16:36,16:50,16:57,17:03,17:24,17:29,17:47,17:59,18:05,18:17
16:49,17:03,17:10,17:16,17:37,17:42,18:00,18:12,18:18,18:30
17:02,17:16,17:23,17:29,17:50,17:55,18:13,18:25,18:31,18:43,
17:15,17:29,17:36,17:42,18:03,18:08,18:26,18:38,18:44,18:56,
17:28,17:42,17:49,17:55,18:16,18:21,18:39,18:51,18:57,19:09,
17:41,17:55,18:02,18:08,18:29,18:34,18:52,19:04,19:10,19:22,
17:54,18:08,18:15,18:21,18:42,18:47,19:05,19:17,19:23,19:35,
18:07,18:21,18:28,18:34,18:55,19:00,19:18,19:30,19:36,19:48,
18:20,18:34,18:41,18:47,19:08,19:13,19:31,19:43,19:49,20:01,
18:33,18:47,18:54,19:00,19:21,19:26,19:44,19:56,20:02,20:14,
18:46,19:00,19:07,19:13,19:34,19:39,19:57,20:09,20:15,20:27,
19:00,19:14,19:21,19:27,19:48,19:53,20:11,20:23,20:29,20:41,
19:14,19:28,19:35,19:41,20:02,20:07,20:25,20:37,20:43,20:55,
19:28,19:42,19:49,19:55,20:16,20:21,20:39,20:51,20:57,21:09,
19:42,19:56,20:03,20:09,20:30,20:35,20:53,21:05,21:11,21:23,
19:56,20:10,20:17,20:23,20:44,20:49,21:07,21:19,21:25,21:37,
20:10,20:24,20:31,20:37,20:58,21:03,21:21,21:33,21:39,21:51,
20:25,20:39,20:46,20:52,21:13,21:18,21:36,21:48,21:54,22:06,
20:40,20:54,21:01,21:07,21:28,21:33,21:51,22:03,22:09,22:21,
20:57,21:11,21:18,21:24,21:45,21:50,22:08,22:20,22:26,22:38,
21:15,21:29,21:36,21:42,22:03,22:07,22:25,22:37,22:43,22:55,
21:34,21:47,21:54,22:00,22:21,22:26,22:44,22:55,23:01,23:13,
21:56,22:09,22:15,22:21,22:42,22:47,23:05,23:16,23:22,23:34,
22:20,22:33,22:39,22:45,23:05,23:10,23:27,23:36,23:41,23:49,
22:45,22:58,23:04,23:10,23:30,23:35,23:52,0:01,0:06,0:14,
23:10,23:23,23:29,23:35,23:55,0:00,0:17,0:26,0:31,0:39,
23:35,23:47,23:52,23:56,0:15,-,-,-,-,-,
0:00,0:12,0:17,0:21,0:40,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
